id,date,hour,station_id,aqi,main_pollutant,co,co_avg8,co_avg24,co_iaqi,no2,no2_avg8,no2_avg24,no2_iaqi,so2,so2_avg8,so2_avg24,so2_iaqi,o3,o3_avg8,o3_avg24,o3_iaqi,pm10,pm10_avg8,pm10_avg24,pm10_iaqi,pm25,pm25_avg8,pm25_avg24,pm25_iaqi,data_source,create_date,miss_data,this_id
632,2013/12/3,5,110000002,NULL,NULL,1100,NULL,3000,12,35,NULL,80,18,60,NULL,84,20,23,NULL,23,8,55,NULL,145,98,47,NULL,136,180,2,59:02.2,1,11
633,2013/12/3,6,110000002,NULL,NULL,1200,NULL,3000,12,31,NULL,79,16,50,NULL,85,17,29,NULL,30,10,45,NULL,143,97,38,NULL,134,176,2,59:02.2,1,12
634,2013/12/3,7,110000002,NULL,NULL,700,NULL,3000,7,29,NULL,78,15,30,NULL,85,10,36,NULL,36,12,40,NULL,141,96,29,NULL,131,173,2,59:02.2,1,13
635,2013/12/3,8,110000002,NULL,NULL,700,NULL,3000,7,30,NULL,77,15,24,NULL,81,8,37,NULL,38,12,41,NULL,138,94,28,NULL,128,168,2,59:02.2,1,14
636,2013/12/3,9,110000002,NULL,NULL,700,NULL,3000,7,25,NULL,75,13,26,NULL,78,9,35,NULL,38,12,47,NULL,133,92,27,NULL,124,162,2,59:02.2,1,15
637,2013/12/3,10,110000002,NULL,NULL,700,NULL,3000,7,21,NULL,73,11,31,NULL,75,11,39,NULL,39,13,39,NULL,129,90,26,NULL,120,156,2,59:02.2,1,16
638,2013/12/3,11,110000002,NULL,NULL,700,NULL,3000,7,17,NULL,72,9,27,NULL,72,9,48,NULL,49,16,35,NULL,128,89,26,NULL,118,155,2,59:02.2,1,17
639,2013/12/3,12,110000002,NULL,NULL,500,NULL,3000,5,19,NULL,67,10,39,NULL,69,13,57,NULL,57,18,32,NULL,117,84,26,NULL,109,143,2,59:02.2,1,18
640,2013/12/3,13,110000002,NULL,NULL,400,NULL,2000,4,16,NULL,61,8,19,NULL,65,7,55,NULL,57,18,30,NULL,104,77,22,NULL,97,128,2,59:02.2,1,19
641,2013/12/3,14,110000002,NULL,NULL,400,NULL,2000,4,15,NULL,56,8,12,NULL,62,4,65,NULL,65,21,39,NULL,95,73,20,NULL,88,116,2,59:02.2,1,20
642,2013/12/3,15,110000002,NULL,NULL,400,NULL,2000,4,15,NULL,52,8,11,NULL,58,4,72,NULL,72,23,35,NULL,87,69,19,NULL,80,106,2,59:02.2,1,21
643,2013/12/3,16,110000002,NULL,NULL,500,NULL,2000,5,21,NULL,48,11,21,NULL,55,7,72,NULL,73,23,37,NULL,80,65,24,NULL,73,97,2,59:02.2,1,22
644,2013/12/3,17,110000002,NULL,NULL,600,NULL,2000,6,23,NULL,44,12,14,NULL,53,5,66,NULL,73,23,39,NULL,74,62,29,NULL,66,88,2,59:02.2,1,23
645,2013/12/3,18,110000002,NULL,NULL,600,NULL,2000,6,29,NULL,40,15,14,NULL,51,5,61,NULL,73,23,46,NULL,67,59,33,NULL,59,80,2,59:02.2,1,24
646,2013/12/3,19,110000002,NULL,NULL,700,NULL,2000,7,36,NULL,38,18,27,NULL,48,9,49,NULL,73,23,52,NULL,61,56,35,NULL,52,71,2,59:02.2,1,25
647,2013/12/3,20,110000002,NULL,NULL,1100,NULL,2000,12,56,NULL,37,28,37,NULL,47,13,37,NULL,73,23,55,NULL,59,55,49,NULL,49,67,2,59:02.2,1,26
648,2013/12/3,21,110000002,NULL,NULL,1750,NULL,NULL,NULL,57,NULL,NULL,NULL,47,NULL,NULL,NULL,16,NULL,73,23,69,NULL,NULL,NULL,64.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,27
649,2013/12/3,22,110000002,NULL,NULL,2400,NULL,1000,24,58,NULL,36,29,57,NULL,42,19,16,NULL,73,23,83,NULL,53,52,80,NULL,43,60,2,59:02.2,1,28
650,2013/12/3,23,110000002,NULL,NULL,1200,NULL,1000,12,57,NULL,36,29,37,NULL,40,13,15,NULL,73,23,56,NULL,52,51,52,NULL,41,58,2,59:02.2,1,29
651,2013/12/4,0,110000002,NULL,NULL,1700,NULL,1000,17,52,NULL,35,26,40,NULL,39,14,12,NULL,73,23,69,NULL,52,51,75,NULL,42,58,2,59:02.2,1,30
652,2013/12/4,1,110000002,NULL,NULL,1000,NULL,1000,10,43,NULL,35,22,40,NULL,37,14,15,NULL,73,23,57,NULL,51,51,50,NULL,41,57,2,59:02.2,1,31
653,2013/12/4,2,110000002,NULL,NULL,950,NULL,NULL,NULL,45,NULL,NULL,NULL,53.5,NULL,NULL,NULL,20,NULL,73,23,56.5,NULL,NULL,NULL,49,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,32
654,2013/12/4,3,110000002,NULL,NULL,900,NULL,1000,9,47,NULL,34,24,67,NULL,35,23,18.5,NULL,NULL,NULL,56,NULL,49,49,48,NULL,39,55,2,59:02.2,1o3,33
655,2013/12/4,4,110000002,NULL,NULL,1000,NULL,NULL,NULL,48,NULL,NULL,NULL,60,NULL,NULL,NULL,17,NULL,73,23,58,NULL,NULL,NULL,48,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,34
656,2013/12/4,5,110000002,NULL,NULL,1100,NULL,1000,12,49,NULL,34,25,53,NULL,34,18,16,NULL,73,23,60,NULL,49,49,48,NULL,39,55,2,59:02.2,1,35
657,2013/12/4,6,110000002,NULL,NULL,1000,NULL,1000,10,51,NULL,36,26,69,NULL,35,23,15,NULL,73,23,62,NULL,49,49,53,NULL,40,56,2,59:02.2,1,36
658,2013/12/4,7,110000002,NULL,NULL,1000,NULL,1000,10,50,NULL,37,25,68,NULL,37,23,13,NULL,73,23,61,NULL,50,50,48,NULL,40,57,2,59:02.2,1,37
659,2013/12/4,8,110000002,NULL,NULL,900,NULL,1000,9,49,NULL,37,25,62,NULL,38,21,14,NULL,73,23,62,NULL,51,51,49,NULL,41,58,2,59:02.2,1,38
660,2013/12/4,9,110000002,NULL,NULL,1000,NULL,1000,10,43,NULL,38,22,59,NULL,40,20,14,NULL,73,23,63,NULL,52,51,52,NULL,42,59,2,59:02.2,1,39
661,2013/12/4,10,110000002,NULL,NULL,900,NULL,1000,9,37,NULL,39,19,53,NULL,41,18,19,NULL,73,23,58,NULL,53,52,46,NULL,43,60,2,59:02.2,1,40
662,2013/12/4,11,110000002,NULL,NULL,850,NULL,NULL,NULL,36.5,NULL,NULL,NULL,53,NULL,NULL,NULL,29,NULL,73,23,67.5,NULL,NULL,NULL,45.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,41
663,2013/12/4,12,110000002,NULL,NULL,800,NULL,1000,8,36,NULL,40,18,53,NULL,42,18,33,NULL,73,23,77,NULL,54,52,45,NULL,44,61,2,59:02.2,1,42
664,2013/12/4,13,110000002,NULL,NULL,800,NULL,1000,8,37,NULL,41,19,61,NULL,44,21,35,NULL,73,23,44,NULL,56,53,49,NULL,46,64,2,59:02.2,1,43
665,2013/12/4,14,110000002,NULL,NULL,750,NULL,NULL,NULL,34.5,NULL,NULL,NULL,52,NULL,NULL,NULL,33,NULL,73,23,43.5,NULL,NULL,NULL,45.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,44
666,2013/12/4,15,110000002,NULL,NULL,700,NULL,1000,7,32,NULL,43,16,43,NULL,47,15,36,NULL,73,23,43,NULL,56,53,42,NULL,48,66,2,59:02.2,1,45
667,2013/12/4,16,110000002,NULL,NULL,800,NULL,NULL,NULL,41.5,NULL,NULL,NULL,33.5,NULL,NULL,NULL,42,NULL,66,21,66.5,NULL,NULL,NULL,53.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,46
668,2013/12/4,17,110000002,NULL,NULL,900,NULL,1000,9,51,NULL,45,26,24,NULL,48,8,40,NULL,61,20,90,NULL,59,55,65,NULL,50,69,2,59:02.2,1,47
669,2013/12/4,18,110000002,NULL,NULL,1200,NULL,1000,12,63,NULL,46,32,34,NULL,49,12,20,NULL,49,16,85,NULL,60,55,71,NULL,52,71,2,59:02.2,1,48
670,2013/12/4,19,110000002,NULL,NULL,1500,NULL,2000,15,59,NULL,47,30,51,NULL,50,17,9,NULL,42,14,81,NULL,62,56,71,NULL,53,72,2,59:02.2,1,49
671,2013/12/4,20,110000002,NULL,NULL,1400,NULL,2000,14,57,NULL,47,29,59,NULL,51,20,9,NULL,42,14,77,NULL,63,57,73,NULL,54,74,2,59:02.2,1,50
672,2013/12/4,21,110000002,NULL,NULL,1300,NULL,2000,13,54,NULL,47,27,56,NULL,52,19,12,NULL,42,14,72,NULL,63,57,67,NULL,55,74,2,59:02.2,1,51
673,2013/12/4,22,110000002,NULL,NULL,1300,NULL,1000,13,54,NULL,47,27,52,NULL,51,18,11,NULL,42,14,69,NULL,62,56,69,NULL,54,74,2,59:02.2,1,52
674,2013/12/4,23,110000002,NULL,NULL,1600,NULL,1000,16,54,NULL,46,27,65,NULL,53,22,10,NULL,42,14,73,NULL,63,57,70,NULL,55,75,2,59:02.2,1,53
675,2013/12/5,0,110000002,NULL,NULL,1300,NULL,1000,13,53,NULL,46,27,69,NULL,54,23,10,NULL,42,14,69,NULL,63,57,67,NULL,55,74,2,59:02.2,1,54
676,2013/12/5,1,110000002,NULL,NULL,1700,NULL,NULL,NULL,56.5,NULL,NULL,NULL,67,NULL,NULL,NULL,11,NULL,42,14,86,NULL,NULL,NULL,80.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,55
677,2013/12/5,2,110000002,NULL,NULL,2100,NULL,2000,21,60,NULL,48,30,65,NULL,56,22,12,NULL,42,14,103,NULL,66,58,94,NULL,58,78,2,59:02.2,1,56
678,2013/12/5,3,110000002,NULL,NULL,1800,NULL,2000,18,51,NULL,48,26,40,NULL,55,14,13,NULL,42,14,66,NULL,66,58,74,NULL,59,80,2,59:02.2,1,57
679,2013/12/5,4,110000002,NULL,NULL,1850,NULL,NULL,NULL,48,NULL,NULL,NULL,40,NULL,NULL,NULL,11,NULL,42,14,66.5,NULL,NULL,NULL,73.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,58
680,2013/12/5,5,110000002,NULL,NULL,1900,NULL,2000,19,45,NULL,48,23,40,NULL,54,14,24,NULL,42,14,67,NULL,67,59,73,NULL,60,81,2,59:02.2,1,59
681,2013/12/5,6,110000002,NULL,NULL,300,NULL,2000,3,10,NULL,46,5,9,NULL,52,3,56,NULL,56,18,6,NULL,65,58,7,NULL,58,79,2,59:02.2,1,60
682,2013/12/5,7,110000002,NULL,NULL,500,NULL,2000,5,26,NULL,44,13,20,NULL,48,7,46,NULL,56,18,7,NULL,60,55,6,NULL,54,74,2,59:02.2,1,61
683,2013/12/5,8,110000002,NULL,NULL,400,NULL,2000,4,22,NULL,43,11,11,NULL,46,4,42,NULL,56,18,12,NULL,58,54,11,NULL,53,72,2,59:02.2,1,62
684,2013/12/5,9,110000002,NULL,NULL,400,NULL,2000,4,18,NULL,42,9,26,NULL,45,9,46,NULL,56,18,10,NULL,56,53,9,NULL,51,70,2,59:02.2,1,63
685,2013/12/5,10,110000002,NULL,NULL,400,NULL,NULL,NULL,16.5,NULL,NULL,NULL,22.5,NULL,NULL,NULL,50,NULL,56,18,11,NULL,NULL,NULL,11.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,64
686,2013/12/5,11,110000002,NULL,NULL,400,NULL,1000,4,15,NULL,40,8,19,NULL,42,7,51,NULL,56,18,12,NULL,52,51,14,NULL,48,67,2,59:02.2,1,65
687,2013/12/5,12,110000002,NULL,NULL,400,NULL,NULL,NULL,14.5,NULL,NULL,NULL,18,NULL,NULL,NULL,55,NULL,56,18,12.5,NULL,NULL,NULL,13.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,66
688,2013/12/5,13,110000002,NULL,NULL,400,NULL,1000,4,14,NULL,39,7,17,NULL,40,6,58,NULL,58,19,13,NULL,50,50,13,NULL,47,65,2,59:02.2,1,67
689,2013/12/5,14,110000002,NULL,NULL,400,NULL,1000,4,14,NULL,37,7,9,NULL,36,3,62,NULL,62,20,13,NULL,47,47,8,NULL,44,61,2,59:02.2,1,68
690,2013/12/5,15,110000002,NULL,NULL,400,NULL,1000,4,14,NULL,37,7,7,NULL,35,3,60,NULL,62,20,20,NULL,46,46,13,NULL,43,59,2,59:02.2,1,69
691,2013/12/5,16,110000002,NULL,NULL,400,NULL,NULL,NULL,19,NULL,NULL,NULL,8,NULL,NULL,NULL,61,NULL,62,20,19.5,NULL,NULL,NULL,13,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,70
692,2013/12/5,17,110000002,NULL,NULL,400,NULL,1000,4,24,NULL,34,12,9,NULL,33,3,62,NULL,63,20,19,NULL,42,42,13,NULL,39,55,2,59:02.2,1,71
693,2013/12/5,18,110000002,NULL,NULL,600,NULL,1000,6,31,NULL,33,16,21,NULL,32,7,53,NULL,63,20,24,NULL,39,39,16,NULL,37,52,2,59:02.2,1,72
694,2013/12/5,19,110000002,NULL,NULL,900,NULL,1000,9,48,NULL,33,24,27,NULL,31,9,39,NULL,63,20,30,NULL,37,37,28,NULL,35,50,2,59:02.2,1,73
695,2013/12/5,20,110000002,NULL,NULL,2100,NULL,1000,21,61,NULL,33,31,45,NULL,31,15,21,NULL,63,20,71,NULL,37,37,65,NULL,35,50,2,59:02.2,1,74
696,2013/12/5,21,110000002,NULL,NULL,1100,NULL,1000,12,53,NULL,33,27,30,NULL,30,10,17,NULL,63,20,56,NULL,36,36,51,NULL,34,49,2,59:02.2,1,75
697,2013/12/5,22,110000002,NULL,NULL,1800,NULL,1000,18,53,NULL,33,27,38,NULL,29,13,13,NULL,63,20,64,NULL,36,36,60,NULL,34,48,2,59:02.2,1,76
698,2013/12/5,23,110000002,NULL,NULL,1600,NULL,1000,16,40,NULL,32,20,29,NULL,27,10,13,NULL,63,20,50,NULL,35,35,58,NULL,33,47,2,59:02.2,1,77
699,2013/12/6,0,110000002,NULL,NULL,1400,NULL,1000,14,32,NULL,31,16,23,NULL,25,8,19,NULL,63,20,50,NULL,34,34,50,NULL,33,46,2,59:02.2,1,78
700,2013/12/6,1,110000002,NULL,NULL,1250,NULL,NULL,NULL,30,NULL,NULL,NULL,21.5,NULL,NULL,NULL,24,NULL,63,20,43,NULL,NULL,NULL,43,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,79
701,2013/12/6,2,110000002,NULL,NULL,1100,NULL,1000,12,28,NULL,29,14,20,NULL,22,7,18,NULL,63,20,36,NULL,30,30,36,NULL,29,42,2,59:02.2,1,80
702,2013/12/6,3,110000002,NULL,NULL,2300,NULL,1000,23,48,NULL,29,24,25,NULL,21,9,24,NULL,63,20,85,NULL,31,31,82,NULL,30,42,2,59:02.2,1,81
703,2013/12/6,4,110000002,NULL,NULL,1200,NULL,1000,12,43.5,NULL,28,NULL,27,NULL,21,9,14,NULL,63,20,39,NULL,30,30,51,NULL,29,41,2,59:02.2,1no2,82
704,2013/12/6,5,110000002,NULL,NULL,900,NULL,1000,9,39,NULL,30,20,26,NULL,21,9,7,NULL,63,20,35,NULL,31,31,34,NULL,30,42,2,59:02.2,1,83
705,2013/12/6,6,110000002,NULL,NULL,1200,NULL,1000,12,42,NULL,31,21,27,NULL,22,9,3,NULL,63,20,47,NULL,33,33,38,NULL,31,44,2,59:02.2,1,84
706,2013/12/6,7,110000002,NULL,NULL,1800,NULL,1000,18,47,NULL,31,24,37,NULL,22,13,3,NULL,63,20,64,NULL,35,35,55,NULL,33,47,2,59:02.2,1,85
707,2013/12/6,8,110000002,NULL,NULL,2500,NULL,2000,25,52,NULL,33,26,31,NULL,23,11,4,NULL,63,20,92,NULL,39,39,64,NULL,35,50,2,59:02.2,1,86
708,2013/12/6,9,110000002,NULL,NULL,2200,NULL,2000,23,51,NULL,34,26,42,NULL,24,14,5,NULL,63,20,91,NULL,42,42,70,NULL,38,53,2,59:02.2,1,87
709,2013/12/6,10,110000002,NULL,NULL,1900,NULL,2000,19,62,NULL,36,31,74,NULL,26,25,1,NULL,63,20,86,NULL,45,45,78,NULL,41,57,2,59:02.2,1,88
710,2013/12/6,11,110000002,NULL,NULL,2000,NULL,2000,20,70,NULL,39,35,97,NULL,29,33,5,NULL,63,20,121,NULL,49,49,111,NULL,45,62,2,59:02.2,1,89
711,2013/12/6,12,110000002,NULL,NULL,1900,NULL,2000,19,73,NULL,41,37,91,NULL,32,31,10,NULL,63,20,131,NULL,54,52,120,NULL,49,67,2,59:02.2,1,90
712,2013/12/6,13,110000002,NULL,NULL,1800,NULL,NULL,NULL,72.5,NULL,NULL,NULL,82,NULL,NULL,NULL,14,NULL,63,20,127,NULL,NULL,NULL,118.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,91
713,2013/12/6,14,110000002,NULL,NULL,1700,NULL,2000,17,72,NULL,46,36,73,NULL,39,25,16,NULL,63,20,123,NULL,63,57,117,NULL,58,79,2,59:02.2,1,92
714,2013/12/6,15,110000002,NULL,NULL,1900,NULL,2000,19,84,NULL,49,42,115,NULL,43,39,17,NULL,63,20,130,NULL,68,59,118,NULL,62,84,2,59:02.2,1,93
715,2013/12/6,16,110000002,NULL,NULL,1900,NULL,2000,19,86,NULL,52,43,59,NULL,46,20,8,NULL,63,20,130,NULL,73,62,111,NULL,67,89,2,59:02.2,1,94
716,2013/12/6,17,110000002,NULL,NULL,1900,NULL,2000,19,88,NULL,55,44,60,NULL,48,20,4,NULL,53,17,150,NULL,78,64,139,NULL,72,96,2,59:02.2,1,95
717,2013/12/6,18,110000002,NULL,NULL,2300,NULL,2000,23,95,NULL,58,48,73,NULL,50,25,2,NULL,40,13,164,NULL,84,67,151,NULL,77,103,2,59:02.2,1,96
718,2013/12/6,19,110000002,NULL,NULL,2700,NULL,2000,27,95,NULL,60,48,71,NULL,52,24,1,NULL,25,8,160,NULL,90,70,153,NULL,83,109,2,59:02.2,1,97
719,2013/12/6,20,110000002,NULL,NULL,3000,NULL,2000,30,91,NULL,61,46,56,NULL,52,19,2,NULL,25,8,141,NULL,93,72,151,NULL,86,114,2,59:02.2,1,98
720,2013/12/6,21,110000002,NULL,NULL,2700,NULL,2000,27,89,NULL,63,45,53,NULL,53,18,4,NULL,25,8,126,NULL,95,73,131,NULL,90,118,2,59:02.2,1,99
721,2013/12/6,22,110000002,NULL,NULL,2800,NULL,2000,28,88,NULL,64,44,49,NULL,54,17,3,NULL,25,8,124,NULL,98,74,127,NULL,92,122,2,59:02.2,1,100
722,2013/12/6,23,110000002,NULL,NULL,2850,NULL,NULL,NULL,83.5,NULL,NULL,NULL,50,NULL,NULL,NULL,2,NULL,25,8,120.5,NULL,NULL,NULL,129.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,101
723,2013/12/7,0,110000002,NULL,NULL,2900,NULL,2000,29,79,NULL,68,40,51,NULL,56,17,3,NULL,NULL,NULL,117,NULL,104,77,132,NULL,99,130,2,59:02.2,1o3,102
724,2013/12/7,1,110000002,NULL,NULL,2700,NULL,3000,27,75,NULL,70,38,41,NULL,56,14,4,NULL,25,8,107,NULL,106,78,126,NULL,102,133,2,59:02.2,1,103
725,2013/12/7,2,110000002,NULL,NULL,2300,NULL,NULL,NULL,73.5,NULL,NULL,NULL,37,NULL,NULL,NULL,4,NULL,25,8,95,NULL,NULL,NULL,111,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,104
726,2013/12/7,3,110000002,NULL,NULL,1900,NULL,3000,19,72,NULL,73,36,33,NULL,57,11,3,NULL,18,6,83,NULL,108,79,96,NULL,105,137,2,59:02.2,1,105
727,2013/12/7,4,110000002,NULL,NULL,3200,NULL,3000,32,78,NULL,73,39,40,NULL,58,14,2,NULL,18,6,112,NULL,111,81,115,NULL,108,141,2,59:02.2,1,106
728,2013/12/7,5,110000002,NULL,NULL,2950,NULL,NULL,NULL,77.5,NULL,NULL,NULL,42,NULL,NULL,NULL,4,NULL,18,6,110,NULL,NULL,NULL,117.5,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,107
729,2013/12/7,6,110000002,NULL,NULL,2700,NULL,3000,27,77,NULL,75,39,44,NULL,58,15,2,NULL,18,6,108,NULL,114,82,120,NULL,111,145,2,59:02.2,1,108
730,2013/12/7,7,110000002,NULL,NULL,3700,NULL,3000,37,85,NULL,78,43,31,NULL,59,11,3,NULL,18,6,150,NULL,120,85,140,NULL,118,153,2,59:02.2,1,109
731,2013/12/7,8,110000002,NULL,NULL,5400,NULL,3000,54,92,NULL,79,46,47,NULL,60,16,7,NULL,18,6,183,NULL,124,87,178,NULL,122,160,2,59:02.2,1,110
732,2013/12/7,9,110000002,NULL,NULL,3400,NULL,3000,34,81,NULL,80,41,62,NULL,60,21,9,NULL,18,6,138,NULL,126,88,155,NULL,126,165,2,59:02.2,1,111
733,2013/12/7,10,110000002,NULL,NULL,3300,NULL,3000,33,89,NULL,82,45,66,NULL,60,22,2,NULL,18,6,151,NULL,128,89,146,NULL,129,170,2,59:02.2,1,112
734,2013/12/7,11,110000002,NULL,NULL,4900,NULL,3000,50,112,NULL,83,56,62,NULL,59,21,2,NULL,18,6,258,NULL,134,92,210,NULL,133,175,2,59:02.2,1,113
735,2013/12/7,12,110000002,NULL,NULL,4500,NULL,3000,45,134,NULL,86,67,96,NULL,59,32,4,NULL,18,6,273,NULL,140,95,270,NULL,139,184,2,59:02.2,1,114
736,2013/12/7,13,110000002,NULL,NULL,4150,NULL,NULL,NULL,130.5,NULL,NULL,NULL,91.5,NULL,NULL,NULL,4,NULL,18,6,260.5,NULL,NULL,NULL,273,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,115
737,2013/12/7,14,110000002,NULL,NULL,3800,NULL,3000,38,127,NULL,90,64,87,NULL,59,29,4,NULL,18,6,248,NULL,148,99,276,NULL,150,200,2,59:02.2,1,116
738,2013/12/7,15,110000002,NULL,NULL,3000,NULL,3000,30,101,NULL,91,51,80,NULL,57,27,4,NULL,9,3,209,NULL,152,101,237,NULL,155,205,2,59:02.2,1,117
739,2013/12/7,16,110000002,NULL,NULL,2900,NULL,4000,29,94,NULL,91,47,83,NULL,58,28,5,NULL,9,3,197,NULL,155,103,221,NULL,160,210,2,59:02.2,1,118
740,2013/12/7,17,110000002,NULL,NULL,3700,NULL,4000,37,105,NULL,92,53,85,NULL,59,29,3,NULL,9,3,225,NULL,158,104,251,NULL,164,214,2,59:02.2,1,119
741,2013/12/7,18,110000002,NULL,NULL,4800,NULL,4000,48,118,NULL,93,59,100,NULL,60,34,1,NULL,9,3,267,NULL,162,106,294,NULL,170,220,2,59:02.2,1,120
742,2013/12/7,19,110000002,NULL,NULL,4500,NULL,4000,45,113,NULL,93,57,91,NULL,61,31,2,NULL,9,3,255,NULL,166,108,296,NULL,176,226,2,59:02.2,1,121
743,2013/12/7,20,110000002,NULL,NULL,3800,NULL,4000,38,99,NULL,94,50,62,NULL,62,21,2,NULL,9,3,213,NULL,169,110,274,NULL,181,231,2,59:02.2,1,122
744,2013/12/7,21,110000002,NULL,NULL,3500,NULL,4000,35,96,NULL,94,48,56,NULL,62,19,2,NULL,9,3,192,NULL,172,111,234,NULL,186,236,2,59:02.2,1,123
745,2013/12/7,22,110000002,NULL,NULL,3400,NULL,4000,34,95,NULL,94,48,53,NULL,62,18,1,NULL,9,3,192,NULL,175,113,223,NULL,190,240,2,59:02.2,1,124
746,2013/12/7,23,110000002,NULL,NULL,3400,NULL,4000,34,97,NULL,95,49,61,NULL,62,21,1,NULL,9,3,195,NULL,178,114,224,NULL,194,244,2,59:02.2,1,125
747,2013/12/8,0,110000002,NULL,NULL,4600,NULL,4000,46,105,NULL,96,53,69,NULL,63,23,1,NULL,9,3,226,NULL,182,116,274,NULL,200,250,2,59:02.2,1,126
748,2013/12/8,1,110000002,NULL,NULL,6100,NULL,4000,61,116,NULL,98,58,74,NULL,64,25,4,NULL,9,3,271,NULL,189,120,331,NULL,208,258,2,59:02.2,1,127
749,2013/12/8,2,110000002,NULL,NULL,6600,NULL,4000,66,109,NULL,99,55,68,NULL,66,23,6,NULL,9,3,282,NULL,197,124,330,NULL,218,268,2,59:02.2,1,128
750,2013/12/8,3,110000002,NULL,NULL,8100,NULL,5000,81,107,NULL,101,54,60,NULL,67,20,6,NULL,9,3,339,NULL,208,129,375,NULL,229,279,2,59:02.2,1,129
751,2013/12/8,4,110000002,NULL,NULL,7750,NULL,NULL,NULL,107.5,NULL,NULL,NULL,55.5,NULL,NULL,NULL,8,NULL,9,3,313.5,NULL,NULL,NULL,360,NULL,NULL,NULL,2,59:02.2,1cono2so2pm10pm25,130
752,2013/12/8,5,110000002,NULL,NULL,7400,NULL,5000,74,108,NULL,102,54,51,NULL,67,17,5,NULL,9,3,288,NULL,215,133,345,NULL,239,289,2,59:02.2,1,131
753,2013/12/8,6,110000002,NULL,NULL,6200,NULL,5000,62,105,NULL,103,53,38,NULL,67,13,2,NULL,9,3,262,NULL,222,136,325,NULL,247,297,2,59:02.2,1,132
754,2013/12/8,7,110000002,NULL,NULL,3700,NULL,5000,37,103,NULL,104,52,59,NULL,68,20,2,NULL,9,3,192,NULL,230,140,265,NULL,261,311,2,59:02.2,1,133
